series_1,series_2
0.1932,0.6
0.1927,0.599
0.1944,0.606
0.1949,0.606
0.1959,0.607
0.2006,0.621
0.1997,0.618
0.1997,0.615
0.2017,0.617
0.2022,0.611
0.2019,0.612
0.2005,0.609
0.2004,0.61
0.1998,0.608
0.1983,0.605
0.1987,0.605
0.201,0.605
0.1992,0.599
0.2005,0.603
0.1999,0.604
0.1997,0.603
0.1991,0.602
0.1998,0.605
0.1988,0.6
0.1971,0.594
0.1978,0.599
0.1975,0.6
0.1978,0.602
0.1984,0.602
0.1987,0.602
0.1984,0.604
0.1996,0.602
0.1994,0.603
0.2009,0.605
0.2008,0.604
0.1999,0.603
0.2009,0.603
0.1995,0.598
0.2008,0.602
0.2008,0.602
0.2017,0.604
0.2004,0.602
0.2,0.6
0.1999,0.602
0.1961,0.593
0.1956,0.594
0.1954,0.597
0.1948,0.596
0.1937,0.595
0.1947,0.592
0.196,0.595
0.195,0.593
0.1952,0.597
0.1954,0.598
0.1957,0.597
0.1947,0.598
0.1945,0.596
0.1942,0.595
0.1935,0.592
0.1948,0.593
0.1956,0.594
0.1957,0.594
0.1941,0.59
0.194,0.588
0.1932,0.587
0.1953,0.597
0.1949,0.595
0.1957,0.598
0.1962,0.597
0.1959,0.596
0.1961,0.597
0.1964,0.596
0.1976,0.597
0.198,0.591
0.1991,0.592
0.199,0.594
0.1997,0.593
0.1993,0.594
0.1997,0.598
0.2005,0.597
0.1998,0.593
0.2013,0.594
0.2015,0.593
0.2035,0.593
0.2011,0.587
0.1992,0.583
0.1981,0.581
0.2001,0.584
0.2018,0.59
0.2068,0.601
0.2104,0.611
0.2126,0.612
0.2135,0.616
0.2105,0.611
0.2108,0.617
0.2101,0.62
0.2133,0.628
0.2136,0.631
0.2148,0.631
0.2136,0.631
0.2121,0.635
0.2145,0.639
0.2119,0.632
0.2124,0.633
0.2102,0.627
0.2112,0.631
0.2101,0.624
0.2126,0.629
0.2117,0.62
0.2119,0.625
0.2137,0.632
0.2134,0.633
0.2162,0.639
0.218,0.64
0.2168,0.643
0.2168,0.641
0.2173,0.637
0.2184,0.637
0.22,0.641
0.2197,0.639
0.2263,0.654
0.2296,0.655
0.229,0.66
0.2286,0.658
0.2291,0.66
0.2265,0.65
0.2248,0.649
0.227,0.656
0.2261,0.653
0.2272,0.656
0.2281,0.656
0.2193,0.639
0.2218,0.649
0.2211,0.648
0.2169,0.639
0.2183,0.644
0.2206,0.642
0.2216,0.649
0.2201,0.645
0.2201,0.648
0.2184,0.648
0.2181,0.646
0.216,0.642
0.216,0.642
0.2179,0.645
0.2184,0.643
0.2203,0.642
0.2195,0.644
0.2193,0.644
0.22,0.645
0.2197,0.647
0.2203,0.657
0.2196,0.653
0.2202,0.651
0.2195,0.65
0.2215,0.655
0.2194,0.654
0.2185,0.652
0.2268,0.657
0.2295,0.671
0.2285,0.671
0.2331,0.681
0.2312,0.681
0.2298,0.68
0.2302,0.681
0.2272,0.675
0.2284,0.677
0.2289,0.68
0.2294,0.672
0.2304,0.678
0.2343,0.682
0.2348,0.691
0.2355,0.684
0.2371,0.684
0.2427,0.685
0.2379,0.68
0.2364,0.683
0.2347,0.681
0.2353,0.681
0.2342,0.681
0.2336,0.682
0.2312,0.679
0.232,0.683
0.2279,0.666
0.2292,0.669
0.2303,0.672
0.2329,0.675
0.2329,0.677
0.2309,0.671
0.2325,0.671
0.2326,0.671
0.2341,0.673
0.2358,0.678
0.2397,0.683
0.2427,0.699
0.2435,0.705
0.242,0.719
0.2442,0.722
0.2418,0.72
0.242,0.725
0.2412,0.733
0.2394,0.724
0.2372,0.714
0.2382,0.718
0.2389,0.718
0.2351,0.713
0.2336,0.717
0.2342,0.72
0.2358,0.714
0.2353,0.707
0.2349,0.707
0.2339,0.7
0.2335,0.696
0.234,0.7
0.2359,0.702
0.2357,0.699
0.2331,0.685
0.2296,0.679
0.23,0.681
0.2327,0.684
0.2317,0.677
0.2298,0.676
0.2328,0.684
0.2311,0.685
0.2328,0.69
0.2319,0.688
0.2321,0.69
0.2339,0.689
0.2341,0.687
0.2385,0.696
0.2354,0.685
0.2352,0.689
0.2293,0.671
0.228,0.671
0.2302,0.679
0.2308,0.68
0.2269,0.672
0.2241,0.67
0.2267,0.677
0.2272,0.673
0.2285,0.676
0.2292,0.681
0.2306,0.688
0.2301,0.688
0.2297,0.691
0.2278,0.687
0.2269,0.683
0.2277,0.685
0.2255,0.678
0.2258,0.676
0.2291,0.68
0.2297,0.678
0.2318,0.682
0.229,0.679
0.2291,0.681
0.2264,0.67
0.2288,0.683
0.2295,0.68
0.2298,0.682
0.2299,0.682
0.2303,0.68
0.2302,0.681
0.2287,0.677
0.23,0.681
0.226,0.671
0.224,0.669
0.221,0.663
0.2225,0.67
0.222,0.666
0.2226,0.666
0.2198,0.661
0.2171,0.649
0.2174,0.652
0.218,0.65
0.2179,0.648
0.2164,0.645
0.2144,0.641
0.2154,0.641
0.2176,0.644
0.2179,0.646
0.2159,0.639
0.2132,0.635
0.2138,0.637
0.2088,0.62
0.2097,0.626
0.2108,0.628
0.2106,0.629
0.2097,0.628
0.2089,0.626
0.21,0.629
0.2098,0.628
0.2109,0.631
0.2116,0.633
0.2113,0.63
0.2121,0.632
0.2127,0.639
0.2125,0.635
0.2158,0.645
0.2175,0.649
0.2201,0.651
0.2192,0.645
0.2167,0.646
0.2152,0.651
0.2147,0.654
0.2152,0.647
0.2156,0.648
0.217,0.652
0.2173,0.653
0.2146,0.647
0.2154,0.647
0.2157,0.65
0.2156,0.65
0.2144,0.645
0.2145,0.646
0.2188,0.663
0.2213,0.67
0.222,0.673
0.2202,0.672
0.2188,0.669
0.2206,0.674
0.2233,0.676
0.2228,0.675
0.224,0.685
0.2252,0.687
0.226,0.691
0.2136,0.652
0.2131,0.655
0.2132,0.654
0.2165,0.677
0.2183,0.685
0.2173,0.683
0.2169,0.679
0.2169,0.679
